event_id,event_date,state,latitude,longitude,rainfall_1d_date,rainfall_3d_start,rainfall_7d_start
4556,2012-09-16 00:00:00,Sikkim,27.1675,88.3651,2012-09-16 00:00:00,2012-09-14 00:00:00,2012-09-10 00:00:00
4570,2012-09-19 00:00:00,Arunachal Pradesh,27.8458,95.2253,2012-09-19 00:00:00,2012-09-17 00:00:00,2012-09-13 00:00:00
4610,2012-11-11 00:00:00,Mizoram,23.7705,92.5217,2012-11-11 00:00:00,2012-11-09 00:00:00,2012-11-05 00:00:00
4757,2013-02-18 00:00:00,Arunachal Pradesh,28.1193,95.1645,2013-02-18 00:00:00,2013-02-16 00:00:00,2013-02-12 00:00:00
4798,2013-04-07 00:00:00,Arunachal Pradesh,28.8254,96.1509,2013-04-07 00:00:00,2013-04-05 00:00:00,2013-04-01 00:00:00
4845,2013-05-07 00:00:00,Mizoram,24.2315,92.6755,2013-05-07 00:00:00,2013-05-05 00:00:00,2013-05-01 00:00:00
4848,2013-05-08 00:00:00,Tripura,24.0896,91.4663,2013-05-08 00:00:00,2013-05-06 00:00:00,2013-05-02 00:00:00
4860,2013-05-11 00:00:00,Assam,26.1016,91.6906,2013-05-11 00:00:00,2013-05-09 00:00:00,2013-05-05 00:00:00
4859,2013-05-11 00:00:00,Assam,26.1771,91.7599,2013-05-11 00:00:00,2013-05-09 00:00:00,2013-05-05 00:00:00
4858,2013-05-11 09:00:00,Assam,26.1662,91.7138,2013-05-11 09:00:00,2013-05-09 09:00:00,2013-05-05 09:00:00
4857,2013-05-11 09:00:00,Mizoram,23.7281,92.7175,2013-05-11 09:00:00,2013-05-09 09:00:00,2013-05-05 09:00:00
4861,2013-05-12 00:00:00,Assam,24.9926,93.4946,2013-05-12 00:00:00,2013-05-10 00:00:00,2013-05-06 00:00:00
4892,2013-06-01 00:00:00,Arunachal Pradesh,27.8776,94.25,2013-06-01 00:00:00,2013-05-30 00:00:00,2013-05-26 00:00:00
4906,2013-06-07 00:00:00,Nagaland,26.0977,94.7499,2013-06-07 00:00:00,2013-06-05 00:00:00,2013-06-01 00:00:00
4905,2013-06-07 00:00:00,Nagaland,26.0977,94.7031,2013-06-07 00:00:00,2013-06-05 00:00:00,2013-06-01 00:00:00
4908,2013-06-08 17:00:00,Sikkim,27.3721,88.708,2013-06-08 17:00:00,2013-06-06 17:00:00,2013-06-02 17:00:00
4990,2013-06-27 23:00:00,Sikkim,27.3765,88.7628,2013-06-27 23:00:00,2013-06-25 23:00:00,2013-06-21 23:00:00
5005,2013-07-01 00:00:00,Nagaland,26.72,95.029,2013-07-01 00:00:00,2013-06-29 00:00:00,2013-06-25 00:00:00
5006,2013-07-01 00:00:00,Nagaland,26.1147,94.3864,2013-07-01 00:00:00,2013-06-29 00:00:00,2013-06-25 00:00:00
5087,2013-07-12 00:00:00,Nagaland,25.6269,94.1139,2013-07-12 00:00:00,2013-07-10 00:00:00,2013-07-06 00:00:00
